x(0,0001) = 0	y(0,0001) = 0
x(0,0233) = 0,0996	y(0,0233) = 0,0552
x(0,0234) = 0,0999	y(0,0234) = 0,0554
x(0,0235) = 0,1003	y(0,0235) = 0,0556
x(0,0236) = 0,1006	y(0,0236) = 0,0557
x(0,0237) = 0,1009	y(0,0237) = 0,0559
x(0,0238) = 0,1012	y(0,0238) = 0,0561
x(0,0239) = 0,1016	y(0,0239) = 0,0562
x(0,024) = 0,1019	y(0,024) = 0,0564
x(0,0241) = 0,1022	y(0,0241) = 0,0566
x(0,0242) = 0,1025	y(0,0242) = 0,0567
x(0,0243) = 0,1028	y(0,0243) = 0,0569
x(0,0244) = 0,1032	y(0,0244) = 0,0571
x(0,0245) = 0,1035	y(0,0245) = 0,0572
x(0,0246) = 0,1038	y(0,0246) = 0,0574
x(0,0247) = 0,1041	y(0,0247) = 0,0575
x(0,0248) = 0,1044	y(0,0248) = 0,0577
x(0,0249) = 0,1047	y(0,0249) = 0,0579
x(0,025) = 0,1051	y(0,025) = 0,058
x(0,0251) = 0,1054	y(0,0251) = 0,0582
x(0,0252) = 0,1057	y(0,0252) = 0,0584
x(0,0253) = 0,106	y(0,0253) = 0,0585
x(0,0254) = 0,1063	y(0,0254) = 0,0587
x(0,0255) = 0,1066	y(0,0255) = 0,0588
x(0,0256) = 0,107	y(0,0256) = 0,059
x(0,0257) = 0,1073	y(0,0257) = 0,0592
x(0,0258) = 0,1076	y(0,0258) = 0,0593
x(0,0259) = 0,1079	y(0,0259) = 0,0595
x(0,026) = 0,1082	y(0,026) = 0,0596
x(0,0261) = 0,1085	y(0,0261) = 0,0598
x(0,0262) = 0,1088	y(0,0262) = 0,06
x(0,0263) = 0,1091	y(0,0263) = 0,0601
x(0,0264) = 0,1095	y(0,0264) = 0,0603
x(0,0265) = 0,1098	y(0,0265) = 0,0604
x(0,0266) = 0,1101	y(0,0266) = 0,0606
x(0,0267) = 0,1104	y(0,0267) = 0,0608
x(0,0268) = 0,1107	y(0,0268) = 0,0609
x(0,0269) = 0,111	y(0,0269) = 0,0611
x(0,027) = 0,1113	y(0,027) = 0,0612
x(0,0271) = 0,1116	y(0,0271) = 0,0614
x(0,0272) = 0,1119	y(0,0272) = 0,0615
x(0,0273) = 0,1122	y(0,0273) = 0,0617
x(0,0274) = 0,1125	y(0,0274) = 0,0619
x(0,0275) = 0,1129	y(0,0275) = 0,062
x(0,0276) = 0,1132	y(0,0276) = 0,0622
x(0,0277) = 0,1135	y(0,0277) = 0,0623
x(0,0278) = 0,1138	y(0,0278) = 0,0625
x(0,0279) = 0,1141	y(0,0279) = 0,0626
x(0,028) = 0,1144	y(0,028) = 0,0628
x(0,0281) = 0,1147	y(0,0281) = 0,0629
x(0,0282) = 0,115	y(0,0282) = 0,0631
x(0,0283) = 0,1153	y(0,0283) = 0,0632
x(0,0284) = 0,1156	y(0,0284) = 0,0634
x(0,0285) = 0,1159	y(0,0285) = 0,0636
x(0,0286) = 0,1162	y(0,0286) = 0,0637
x(0,0287) = 0,1165	y(0,0287) = 0,0639
x(0,0288) = 0,1168	y(0,0288) = 0,064
x(0,0289) = 0,1171	y(0,0289) = 0,0642
x(0,029) = 0,1174	y(0,029) = 0,0643
x(0,0291) = 0,1177	y(0,0291) = 0,0645
x(0,0292) = 0,118	y(0,0292) = 0,0646
x(0,0293) = 0,1183	y(0,0293) = 0,0648
x(0,0294) = 0,1186	y(0,0294) = 0,0649
x(0,0295) = 0,1189	y(0,0295) = 0,0651
x(0,0296) = 0,1192	y(0,0296) = 0,0652
x(0,0297) = 0,1195	y(0,0297) = 0,0654
x(0,0298) = 0,1198	y(0,0298) = 0,0655
x(0,0299) = 0,1201	y(0,0299) = 0,0657
x(0,03) = 0,1204	y(0,03) = 0,0658
x(0,0301) = 0,1207	y(0,0301) = 0,066
x(0,0302) = 0,121	y(0,0302) = 0,0661
x(0,0303) = 0,1213	y(0,0303) = 0,0663
x(0,0304) = 0,1216	y(0,0304) = 0,0664
x(0,0305) = 0,1219	y(0,0305) = 0,0666
x(0,0306) = 0,1222	y(0,0306) = 0,0667
x(0,0307) = 0,1225	y(0,0307) = 0,0668
x(0,0308) = 0,1228	y(0,0308) = 0,067
x(0,0309) = 0,1231	y(0,0309) = 0,0671
x(0,031) = 0,1234	y(0,031) = 0,0673
x(0,0311) = 0,1237	y(0,0311) = 0,0674
x(0,0312) = 0,124	y(0,0312) = 0,0676
x(0,0313) = 0,1243	y(0,0313) = 0,0677
x(0,0314) = 0,1246	y(0,0314) = 0,0679
x(0,0315) = 0,1249	y(0,0315) = 0,068
x(0,0316) = 0,1252	y(0,0316) = 0,0682
x(0,0317) = 0,1255	y(0,0317) = 0,0683
x(0,0318) = 0,1258	y(0,0318) = 0,0685
x(0,0319) = 0,1261	y(0,0319) = 0,0686
x(0,032) = 0,1264	y(0,032) = 0,0687
x(0,0321) = 0,1267	y(0,0321) = 0,0689
x(0,0322) = 0,1269	y(0,0322) = 0,069
x(0,0323) = 0,1272	y(0,0323) = 0,0692
x(0,0324) = 0,1275	y(0,0324) = 0,0693
x(0,0325) = 0,1278	y(0,0325) = 0,0695
x(0,0326) = 0,1281	y(0,0326) = 0,0696
x(0,0327) = 0,1284	y(0,0327) = 0,0697
x(0,0328) = 0,1287	y(0,0328) = 0,0699
x(0,0329) = 0,129	y(0,0329) = 0,07
x(0,033) = 0,1293	y(0,033) = 0,0702
x(0,0331) = 0,1296	y(0,0331) = 0,0703
x(0,0332) = 0,1299	y(0,0332) = 0,0704
x(0,0333) = 0,1301	y(0,0333) = 0,0706
x(0,0334) = 0,1304	y(0,0334) = 0,0707
x(0,0335) = 0,1307	y(0,0335) = 0,0709
x(0,0336) = 0,131	y(0,0336) = 0,071
x(0,0337) = 0,1313	y(0,0337) = 0,0712
x(0,0338) = 0,1316	y(0,0338) = 0,0713
x(0,0339) = 0,1319	y(0,0339) = 0,0714
x(0,034) = 0,1322	y(0,034) = 0,0716
x(0,0341) = 0,1325	y(0,0341) = 0,0717
x(0,0342) = 0,1327	y(0,0342) = 0,0718
x(0,0343) = 0,133	y(0,0343) = 0,072
x(0,0344) = 0,1333	y(0,0344) = 0,0721
x(0,0345) = 0,1336	y(0,0345) = 0,0723
x(0,0346) = 0,1339	y(0,0346) = 0,0724
x(0,0347) = 0,1342	y(0,0347) = 0,0725
x(0,0348) = 0,1345	y(0,0348) = 0,0727
x(0,0349) = 0,1347	y(0,0349) = 0,0728
x(0,035) = 0,135	y(0,035) = 0,0729
x(0,0351) = 0,1353	y(0,0351) = 0,0731
x(0,0352) = 0,1356	y(0,0352) = 0,0732
x(0,0353) = 0,1359	y(0,0353) = 0,0734
x(0,0354) = 0,1362	y(0,0354) = 0,0735
x(0,0355) = 0,1364	y(0,0355) = 0,0736
x(0,0356) = 0,1367	y(0,0356) = 0,0738
x(0,0357) = 0,137	y(0,0357) = 0,0739
x(0,0358) = 0,1373	y(0,0358) = 0,074
x(0,0359) = 0,1376	y(0,0359) = 0,0742
x(0,036) = 0,1379	y(0,036) = 0,0743
x(0,0361) = 0,1381	y(0,0361) = 0,0744
x(0,0362) = 0,1384	y(0,0362) = 0,0746
x(0,0363) = 0,1387	y(0,0363) = 0,0747
x(0,0364) = 0,139	y(0,0364) = 0,0748
x(0,0365) = 0,1393	y(0,0365) = 0,075
x(0,0366) = 0,1395	y(0,0366) = 0,0751
x(0,0367) = 0,1398	y(0,0367) = 0,0752
x(0,0368) = 0,1401	y(0,0368) = 0,0754
x(0,0369) = 0,1404	y(0,0369) = 0,0755
x(0,037) = 0,1407	y(0,037) = 0,0756
x(0,0371) = 0,1409	y(0,0371) = 0,0758
x(0,0372) = 0,1412	y(0,0372) = 0,0759
x(0,0373) = 0,1415	y(0,0373) = 0,076
x(0,0374) = 0,1418	y(0,0374) = 0,0762
x(0,0375) = 0,1421	y(0,0375) = 0,0763
x(0,0376) = 0,1423	y(0,0376) = 0,0764
x(0,0377) = 0,1426	y(0,0377) = 0,0766
x(0,0378) = 0,1429	y(0,0378) = 0,0767
x(0,0379) = 0,1432	y(0,0379) = 0,0768
x(0,038) = 0,1434	y(0,038) = 0,077
x(0,0381) = 0,1437	y(0,0381) = 0,0771
x(0,0382) = 0,144	y(0,0382) = 0,0772
x(0,0383) = 0,1443	y(0,0383) = 0,0773
x(0,0384) = 0,1446	y(0,0384) = 0,0775
x(0,0385) = 0,1448	y(0,0385) = 0,0776
x(0,0386) = 0,1451	y(0,0386) = 0,0777
x(0,0387) = 0,1454	y(0,0387) = 0,0779
x(0,0388) = 0,1457	y(0,0388) = 0,078
x(0,0389) = 0,1459	y(0,0389) = 0,0781
x(0,039) = 0,1462	y(0,039) = 0,0782
x(0,0391) = 0,1465	y(0,0391) = 0,0784
x(0,0392) = 0,1468	y(0,0392) = 0,0785
x(0,0393) = 0,147	y(0,0393) = 0,0786
x(0,0394) = 0,1473	y(0,0394) = 0,0788
x(0,0395) = 0,1476	y(0,0395) = 0,0789
x(0,0396) = 0,1478	y(0,0396) = 0,079
x(0,0397) = 0,1481	y(0,0397) = 0,0791
x(0,0398) = 0,1484	y(0,0398) = 0,0793
x(0,0399) = 0,1487	y(0,0399) = 0,0794
x(0,04) = 0,1489	y(0,04) = 0,0795
x(0,0401) = 0,1492	y(0,0401) = 0,0796
x(0,0402) = 0,1495	y(0,0402) = 0,0798
x(0,0403) = 0,1498	y(0,0403) = 0,0799
x(0,0404) = 0,15	y(0,0404) = 0,08
x(0,0405) = 0,1503	y(0,0405) = 0,0801
x(0,0406) = 0,1506	y(0,0406) = 0,0803
x(0,0407) = 0,1508	y(0,0407) = 0,0804
x(0,0408) = 0,1511	y(0,0408) = 0,0805
x(0,0409) = 0,1514	y(0,0409) = 0,0806
x(0,041) = 0,1516	y(0,041) = 0,0808
x(0,0411) = 0,1519	y(0,0411) = 0,0809
x(0,0412) = 0,1522	y(0,0412) = 0,081
x(0,0413) = 0,1525	y(0,0413) = 0,0811
x(0,0414) = 0,1527	y(0,0414) = 0,0813
x(0,0415) = 0,153	y(0,0415) = 0,0814
x(0,0416) = 0,1533	y(0,0416) = 0,0815
x(0,0417) = 0,1535	y(0,0417) = 0,0816
x(0,0418) = 0,1538	y(0,0418) = 0,0818
x(0,0419) = 0,1541	y(0,0419) = 0,0819
x(0,042) = 0,1543	y(0,042) = 0,082
x(0,0421) = 0,1546	y(0,0421) = 0,0821
x(0,0422) = 0,1549	y(0,0422) = 0,0822
x(0,0423) = 0,1551	y(0,0423) = 0,0824
x(0,0424) = 0,1554	y(0,0424) = 0,0825
x(0,0425) = 0,1557	y(0,0425) = 0,0826
x(0,0426) = 0,1559	y(0,0426) = 0,0827
x(0,0427) = 0,1562	y(0,0427) = 0,0828
x(0,0428) = 0,1565	y(0,0428) = 0,083
x(0,0429) = 0,1567	y(0,0429) = 0,0831
x(0,043) = 0,157	y(0,043) = 0,0832
x(0,0431) = 0,1573	y(0,0431) = 0,0833
x(0,0432) = 0,1575	y(0,0432) = 0,0834
x(0,0433) = 0,1578	y(0,0433) = 0,0836
x(0,0434) = 0,1581	y(0,0434) = 0,0837
x(0,0435) = 0,1583	y(0,0435) = 0,0838
x(0,0436) = 0,1586	y(0,0436) = 0,0839
x(0,0437) = 0,1589	y(0,0437) = 0,084
x(0,0438) = 0,1591	y(0,0438) = 0,0842
x(0,0439) = 0,1594	y(0,0439) = 0,0843
x(0,044) = 0,1596	y(0,044) = 0,0844
x(0,0441) = 0,1599	y(0,0441) = 0,0845
x(0,0442) = 0,1602	y(0,0442) = 0,0846
x(0,0443) = 0,1604	y(0,0443) = 0,0848
x(0,0444) = 0,1607	y(0,0444) = 0,0849
x(0,0445) = 0,161	y(0,0445) = 0,085
x(0,0446) = 0,1612	y(0,0446) = 0,0851
x(0,0447) = 0,1615	y(0,0447) = 0,0852
x(0,0448) = 0,1618	y(0,0448) = 0,0853
x(0,0449) = 0,162	y(0,0449) = 0,0855
x(0,045) = 0,1623	y(0,045) = 0,0856
x(0,0451) = 0,1625	y(0,0451) = 0,0857
x(0,0452) = 0,1628	y(0,0452) = 0,0858
x(0,0453) = 0,1631	y(0,0453) = 0,0859
x(0,0454) = 0,1633	y(0,0454) = 0,086
x(0,0455) = 0,1636	y(0,0455) = 0,0862
x(0,0456) = 0,1638	y(0,0456) = 0,0863
x(0,0457) = 0,1641	y(0,0457) = 0,0864
x(0,0458) = 0,1644	y(0,0458) = 0,0865
x(0,0459) = 0,1646	y(0,0459) = 0,0866
x(0,046) = 0,1649	y(0,046) = 0,0867
x(0,0461) = 0,1651	y(0,0461) = 0,0868
x(0,0462) = 0,1654	y(0,0462) = 0,087
x(0,0463) = 0,1657	y(0,0463) = 0,0871
x(0,0464) = 0,1659	y(0,0464) = 0,0872
x(0,0465) = 0,1662	y(0,0465) = 0,0873
x(0,0466) = 0,1664	y(0,0466) = 0,0874
x(0,0467) = 0,1667	y(0,0467) = 0,0875
x(0,0468) = 0,1669	y(0,0468) = 0,0876
x(0,0469) = 0,1672	y(0,0469) = 0,0877
x(0,047) = 0,1675	y(0,047) = 0,0879
x(0,0471) = 0,1677	y(0,0471) = 0,088
x(0,0472) = 0,168	y(0,0472) = 0,0881
x(0,0473) = 0,1682	y(0,0473) = 0,0882
x(0,0474) = 0,1685	y(0,0474) = 0,0883
x(0,0475) = 0,1687	y(0,0475) = 0,0884
x(0,0476) = 0,169	y(0,0476) = 0,0885
x(0,0477) = 0,1693	y(0,0477) = 0,0886
x(0,0478) = 0,1695	y(0,0478) = 0,0888
x(0,0479) = 0,1698	y(0,0479) = 0,0889
x(0,048) = 0,17	y(0,048) = 0,089
x(0,0481) = 0,1703	y(0,0481) = 0,0891
x(0,0482) = 0,1705	y(0,0482) = 0,0892
x(0,0483) = 0,1708	y(0,0483) = 0,0893
x(0,0484) = 0,171	y(0,0484) = 0,0894
x(0,0485) = 0,1713	y(0,0485) = 0,0895
x(0,0486) = 0,1716	y(0,0486) = 0,0896
x(0,0487) = 0,1718	y(0,0487) = 0,0897
x(0,0488) = 0,1721	y(0,0488) = 0,0899
x(0,0489) = 0,1723	y(0,0489) = 0,09
x(0,049) = 0,1726	y(0,049) = 0,0901
x(0,0491) = 0,1728	y(0,0491) = 0,0902
x(0,0492) = 0,1731	y(0,0492) = 0,0903
x(0,0493) = 0,1733	y(0,0493) = 0,0904
x(0,0494) = 0,1736	y(0,0494) = 0,0905
x(0,0495) = 0,1738	y(0,0495) = 0,0906
